id,host_days,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,city,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month
7086825,582,within a day,100%,100%,1,3,1,Roslindale,Boston,House,Private room,1,1,1,1,Real Bed,49,0,0,1,10,5,98,9,9,10,10,9,10,0,strict,0.72
1861070,1203,within a few hours,100%,71%,0,1,0,Roslindale,Boston,House,Private room,1,1.5,1,1,Real Bed,75,0,0,1,0,1,96,10,10,10,10,10,10,0,flexible,0.59
4283698,2191,within an hour,100%,95%,0,2,1,Roslindale,Boston,House,Entire home/apt,4,1,1,2,Real Bed,110,0,1,2,20,3,87,9,9,10,10,9,9,0,strict,2.36
10116095,1920,within a few hours,100%,100%,0,1,0,Roslindale,Boston,Apartment,Private room,2,1,1,1,Real Bed,115,1,1,1,0,1,,,,,,,,0,strict,
8548176,1317,within an hour,98%,96%,0,5,1,Roslindale,Boston,House,Entire home/apt,16,1,3,5,Real Bed,125,1,1,1,25,1,91,10,10,10,10,9,9,0,strict,2.07
4922204,1317,within an hour,98%,96%,0,5,1,Roslindale,"Roslindale, Boston",House,Entire home/apt,16,2.5,3,7,Real Bed,200,1,1,1,25,1,95,10,10,10,10,10,9,0,strict,4.32
4085362,1610,within a few hours,100%,100%,1,2,1,Roslindale,Boston,House,Private room,2,2,1,1,Real Bed,75,0,1,1,15,1,97,10,10,10,10,10,10,0,moderate,0.87
3755609,885,within a few hours,100%,100%,0,1,1,Roslindale,Boston,House,Private room,1,1,1,1,Real Bed,78,1,1,1,0,3,95,9,9,10,10,9,9,1,flexible,0.87
13768853,488,within a few hours,100%,100%,0,1,1,Roslindale,Boston,Apartment,Private room,4,1,1,2,Real Bed,50,0,1,1,0,2,96,10,10,10,10,10,10,0,flexible,5.77
1936861,1144,within a few hours,100%,71%,1,1,1,Roslindale,Boston,Apartment,Private room,1,1,1,1,Real Bed,60,0,0,1,10,1,98,10,10,10,10,9,10,0,flexible,4.39
4461111,1021,within a few hours,100%,94%,1,3,1,Roslindale,Boston,House,Private room,1,1.5,1,1,Real Bed,45,0,0,1,0,2,100,9,10,10,9,7,9,0,flexible,0.54
1724900,1256,within a few hours,77%,89%,0,2,0,Roslindale,Boston,House,Entire home/apt,4,1,2,2,Real Bed,145,1,1,3,33,5,92,10,10,10,10,9,9,0,strict,0.74
13937181,175,within an hour,100%,83%,0,1,0,Roslindale,Boston,House,Private room,2,2,1,1,Real Bed,45,0,0,1,10,2,96,10,9,10,10,9,9,0,flexible,3.13
3968797,1443,within an hour,100%,92%,1,2,1,Roslindale,Boston,House,Private room,2,1.5,1,1,Real Bed,85,0,1,1,0,1,97,10,10,10,10,9,10,0,moderate,1.67
1494726,1266,within a few hours,100%,100%,0,1,1,Roslindale,Roslindale,House,Private room,1,1,1,1,Real Bed,75,1,1,1,25,3,93,9,10,10,10,10,10,0,strict,0.37
